transaction_id,original_address,normalized_address,house,street,strtype,apttype,aptnbr,city,state,zip
none-74-jackson-street-unit-3a-brooklyn-ny-11211,74 Jackson Street Unit 3A,74 JACKSON ST 3A,74,Jackson,Street,Unit,3A,,,
none-20-bayard-street-unit-11b-brooklyn-ny-11211,20 Bayard Street Unit 11B,20 BAYARD ST 11B,20,Bayard,Street,Unit,11B,,,
none-976-metropolitan-avenue-unit-1b-brooklyn-ny-11211,976 Metropolitan Avenue Unit 1B,976 METROPOLITAN AVE 1B,976,Metropolitan,Avenue,Unit,1B,,,
none-550-metropolitan-avenue-unit-commercial-brooklyn-ny-11211,550 Metropolitan Avenue Unit COMMERCIAL,550 METROPOLITAN AVE COMMERCIAL,550,Metropolitan,Avenue,Unit,COMMERCIAL,,,
none-214-north-11th-street-unit-1l-brooklyn-ny-11211,214 North 11th Street Unit 1L,214 N 11TH ST 1L,214,11th,Street,Unit,1L,,,
none-176-south-4th-street-unit-4a-brooklyn-ny-11211,176 South 4th Street Unit 4A,176 S 4TH ST 4A,176,4th,Street,Unit,4A,,,
none-339-bedford-avenue-unit-8-brooklyn-ny-11211,339 Bedford Avenue Unit 8,339 BEDFORD AVE 8,339,Bedford,Avenue,Unit,8,,,
none-185-withers-street-unit-4-brooklyn-ny-11211,185 Withers Street Unit 4,185 WITHERS ST 4,185,Withers,Street,Unit,4,,,
none-190-south-1st-street-unit-4b-brooklyn-ny-11211,190 South 1st Street Unit 4B,190 S 1ST ST 4B,190,1st,Street,Unit,4B,,,
none-185-withers-street-unit-3-brooklyn-ny-11211,185 Withers Street Unit 3,185 WITHERS ST 3,185,Withers,Street,Unit,3,,,
none-185-withers-street-unit-2-brooklyn-ny-11211,185 Withers Street Unit 2,185 WITHERS ST 2,185,Withers,Street,Unit,2,,,
none-476-union-avenue-unit-4bb-brooklyn-ny-11211,476 Union Avenue Unit 4BB,476 UNION AVE 4BB,476,Union,Avenue,Unit,4BB,,,
none-139-skillman-avenue-unit-8a-brooklyn-ny-11211,139 Skillman Avenue Unit 8A,139 SKILLMAN AVE 8A,139,Skillman,Avenue,Unit,8A,,,
none-185-withers-street-unit-1-brooklyn-ny-11211,185 Withers Street Unit 1,185 WITHERS ST 1,185,Withers,Street,Unit,1,,,
none-jackson-street-unit-3-brooklyn-ny-11211,Jackson Street Unit 3,JACKSON ST 3,,Jackson,Street,Unit,3,,,
none-woodpoint-road-unit-3-brooklyn-ny-11211,Woodpoint Road Unit 3,WOODPOINT RD 3,,Woodpoint,Road,Unit,3,,,
none-bayard-street-unit-3b-brooklyn-ny-11211,Bayard Street Unit 3B,BAYARD ST 3B,,Bayard,Street,Unit,3B,,,
none-jackson-street-unit-4-brooklyn-ny-11211,Jackson Street Unit 4,JACKSON ST 4,,Jackson,Street,Unit,4,,,
none-skillman-avenue-unit-2-brooklyn-ny-11211,Skillman Avenue Unit 2,SKILLMAN AVE 2,,Skillman,Avenue,Unit,2,,,
none-north-11th-street-unit-5r-brooklyn-ny-11211,North 11th Street Unit 5R,N 11TH ST 5R,,11th,Street,Unit,5R,,,
none-woodpoint-road-unit-1-brooklyn-ny-11211,Woodpoint Road Unit 1,WOODPOINT RD 1,,Woodpoint,Road,Unit,1,,,
none-south-5th-street-unit-2-brooklyn-ny-11211,South 5th Street Unit 2,S 5TH ST 2,,5th,Street,Unit,2,,,
none-181-jackson-street-unit-ph-brooklyn-ny-11211,181 Jackson Street Unit PH,181 JACKSON ST PH,181,Jackson,Street,Unit,PH,,,
none-149-conselyea-street-unit-4a-brooklyn-ny-11211,149 Conselyea Street Unit 4A,149 CONSELYEA ST 4A,149,Conselyea,Street,Unit,4A,,,
none-719-grand-street-none-brooklyn-ny-11211,719 Grand Street,719 GRAND ST,719,Grand,Street,,,,,
none-171-north-1st-street-unit-5b-brooklyn-ny-11211,171 North 1st Street Unit 5B,171 N 1ST ST 5B,171,1st,Street,Unit,5B,,,
none-323-south-5th-street-unit-4-brooklyn-ny-11211,323 South 5th Street Unit 4,323 S 5TH ST 4,323,5th,Street,Unit,4,,,
